ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_WEEKDAY,ACCIDENTLOCATION,IMPACTLOCATION,INITIALIMPACTTYPE,LIGHT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,injury
2017,10,11,15,Wednesday,At/near private drive,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,11,17,Wednesday,Non intersection,Thru lane,Approaching,Dusk,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,1
2017,10,11,19,Wednesday,Intersection related,Thru lane,Rear end,"Dark, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,0
2017,10,13,10,Friday,At/near private drive,Thru lane,Turning movement,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,"Fog, mist, smoke, dust",0
2017,10,13,13,Friday,Non intersection,Thru lane,SMV unattended vehicle,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,12,20,Thursday,At/near private drive,Not on roadway - right side,SMV unattended vehicle,Dark,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,13,19,Friday,Intersection related,Thru lane,SMV other,"Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,14,9,Saturday,At intersection,Within intersection,SMV other,Daylight,Regional municipality,Traffic signal,Functioning,0,0,0,True,False,False,Clear,1
2017,10,13,10,Friday,At/near private drive,Off highway,SMV other,Daylight,Private property,No control,unknown,0,0,0,False,False,False,Rain,0
2017,10,14,13,Saturday,At/near private drive,Thru lane,Other,Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,14,18,Saturday,At intersection,Within intersection,Turning movement,Dusk,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Rain,1
2017,10,14,18,Saturday,Non intersection,Thru lane,Rear end,Dusk,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Rain,0
2017,10,15,2,Sunday,Non intersection,Thru lane,Approaching,"Dark, artificial",Regional municipality,Traffic controller,unknown,0,0,0,False,False,False,Rain,1
2017,10,15,11,Sunday,Intersection related,Thru lane,SMV other,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Rain,0
2017,10,15,12,Sunday,At/near private drive,Left turn lane,Other,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,0
2017,10,16,5,Monday,At intersection,Within intersection,Turning movement,Dark,Regional municipality,Stop sign,Functioning,0,0,0,False,True,False,Clear,1
2017,10,16,7,Monday,At intersection,Within intersection,Rear end,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,0
2017,10,15,19,Sunday,At/near private drive,Right shoulder,SMV unattended vehicle,Other,Regional municipality,No control,unknown,0,0,0,False,False,False,Rain,0
2017,10,16,15,Monday,At/near private drive,Thru lane,Rear end,Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,0
2017,10,13,8,Friday,At intersection,Within intersection,Rear end,Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Rain,0
2017,10,16,16,Monday,Intersection related,Thru lane,Sideswipe,Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,0
